#,county_name,fips_code,map_number
1,Adair,001,69
2,Adams,003,81
3,Allamakee,005,11
4,Appanoose,007,96
5,Audubon,009,57
6,Benton,011,51
7,Black Hawk,013,39
8,Boone,015,47
9,Bremer,017,30
10,Buchanan,019,40
11,Buena Vista,021,24
12,Butler,023,29
13,Calhoun,025,34
14,Carroll,027,45
15,Cass,029,68
16,Cedar,031,65
17,Cerro Gordo,033,17
18,Cherokee,035,23
19,Chickasaw,037,19
20,Clarke,039,83
21,Clay,041,14
22,Clayton,043,21
23,Clinton,045,66
24,Crawford,047,44
25,Dallas,049,59
26,Davis,051,97
27,Decatur,053,94
28,Delaware,055,41
29,Des Moines,057,89
30,Dickinson,059,3
31,Dubuque,061,42
32,Emmet,063,4
33,Fayette,065,20
34,Floyd,067,18
35,Franklin,069,28
36,Fremont,071,90
37,Greene,073,46
38,Grundy,075,38
39,Guthrie,077,58
40,Hamilton,079,36
41,Hancock,081,16
42,Hardin,083,37
43,Harrison,085,55
44,Henry,087,88
45,Howard,089,9
46,Humboldt,091,26
47,Ida,093,32
48,Iowa,095,63
49,Jackson,097,54
50,Jasper,099,61
51,Jefferson,101,87
52,Johnson,103,64
53,Jones,105,53
54,Keokuk,107,74
55,Kossuth,109,5
56,Lee,111,99
57,Linn,113,52
58,Louisa,115,76
59,Lucas,117,84
60,Lyon,119,1
61,Madison,121,70
62,Mahaska,123,73
63,Marion,125,72
64,Marshall,127,49
65,Mills,129,79
66,Mitchell,131,8
67,Monona,133,43
68,Monroe,135,85
69,Montgomery,137,80
70,Muscatine,139,77
71,O'Brien,141,13
72,Osceola,143,2
73,Page,145,91
74,Palo Alto,147,15
75,Plymouth,149,22
76,Pocahontas,151,25
77,Polk,153,60
78,Pottawattamie,155,67
79,Poweshiek,157,62
80,Ringgold,159,93
81,Sac,161,33
82,Scott,163,78
83,Shelby,165,56
84,Sioux,167,12
85,Story,169,48
86,Tama,171,50
87,Taylor,173,92
88,Union,175,82
89,Van Buren,177,98
90,Wapello,179,86
91,Warren,181,71
92,Washington,183,75
93,Wayne,185,95
94,Webster,187,35
95,Winnebago,189,6
96,Winneshiek,191,10
97,Woodbury,193,31
98,Worth,195,7
99,Wright,197,27